ITIS_event_category_sid,id,name,open511_subtype
1,512,accident,ACCIDENT
2,513,serious-accident,ACCIDENT
3,514,injury-accident,ACCIDENT
4,515,minor-accident,ACCIDENT
5,516,multi-vehicle-accident,ACCIDENT
6,517,numerous-accidents,ACCIDENT
7,518,accident-involving-a-bicycle,ACCIDENT
8,519,accident-involving-a-bus,ACCIDENT
9,520,accident-involving-a-motorcycle,ACCIDENT
10,521,accident-involving-a-pedestrian,ACCIDENT
11,522,accident-involving-a-train,ACCIDENT
12,523,accident-involving-a-truck,ACCIDENT
13,524,accident-involving-a-semi-trailer,ACCIDENT
14,525,accident-involving-hazardous-materials,ACCIDENT
15,526,earlier-accident,ACCIDENT
16,527,medical-emergency,
17,528,secondary-accident,ACCIDENT
18,529,rescue-and-recovery-work-removed,
19,530,accident-investigation-work,ACCIDENT
20,531,incident,INCIDENT
21,532,stalled-vehicle,ACCIDENT
22,533,abandoned-vehicle,
23,534,disabled-vehicle,ACCIDENT
24,535,disabled-truck,ACCIDENT
25,536,disabled-semi-trailer,ACCIDENT
26,537,disabled-bus,ACCIDENT
27,538,disabled-train,ACCIDENT
28,539,vehicle-spun-out,ACCIDENT
29,540,vehicle-on-fire,ACCIDENT
30,541,vehicle-in-water,ACCIDENT
31,542,vehicles-slowing-to-look-at-accident,ACCIDENT
32,543,jackknifed-semi-trailer,ACCIDENT
33,544,jackknifed-trailer-home,ACCIDENT
34,545,jackknifed-trailer,ACCIDENT
35,546,spillage-occurring-from-moving-vehicle,ACCIDENT
36,547,acid-spill,SPILL
37,548,chemical-spill,SPILL
38,549,fuel-spill,SPILL
39,550,hazardous-materials-spill,SPILL
40,551,oil-spill,SPILL
41,552,spilled-load,SPILL
42,553,toxic-spill,SPILL
43,554,overturned-vehicle,ACCIDENT
44,555,overturned-truck,ACCIDENT
45,556,overturned-semi-trailer,ACCIDENT
46,557,overturned-bus,ACCIDENT
47,558,derailed-train,ACCIDENT
48,559,stuck-vehicle,ACCIDENT
49,560,truck-stuck-under-bridge,ACCIDENT
50,561,bus-stuck-under-bridge,ACCIDENT
51,562,accident-cleared,
52,563,incident-cleared,
53,7424,keep-to-the-right,
54,7425,keep-to-the-left,
55,7426,use-right-lane,
56,7427,use-left-lane,
57,7428,stay-in-lane,
58,7429,merge,
59,7430,heavy-vehicles-use-right-lane,
60,7431,heavy-vehicles-use-left-lane,
61,7432,observe-signals,
62,7433,observe-signs,
63,7434,no-passing,
64,7435,no-smoking,
65,7436,no-open-flames,
66,7437,use-shoulder-as-lane,
67,7438,do-not-drive-on-the-shoulder,
68,7439,allow-emergency-vehicles-to-pass,
69,7440,clear-a-lane-for-emergency-vehicles,
70,7441,pull-over-to-the-edge-of-the-roadway,
71,7442,wait-for-escort-vehicle,
72,7443,in-emergency-wait-for-police-patrol,
73,7444,reduce-your-speed,
74,7445,observe-speed-limits,
75,7446,check-point,
76,7447,entry-requirements,
77,7448,insurance-requirements,
78,7449,firearms-requirements,
79,7450,pet-requirements,
80,7451,slower-traffic-keep-right,
81,7452,keep-off,
82,7453,shoulder-travel-no-longer-allowed,
83,7168,drive-carefully,
84,7169,drive-with-extreme-caution,
85,7170,approach-with-care,
86,7171,keep-your-distance,
87,7172,increase-normal-following-distance,
88,7173,test-your-brakes,
89,7174,cross-intersection-with-care,
90,7175,pass-with-care,
91,7176,pass,
92,7177,use-low-beam-headlights,
93,7178,use-fog-lights,
94,7179,use-hazard-warning-lights,
95,7180,do-not-leave-your-vehicle,
96,7181,leave-your-vehicle-and-proceed-to-next-safe-place,
97,7182,turn-off-engine,
98,7183,close-all-windows-turn-off-heater-air-conditioner-and-vents,
99,7184,turn-off-air-conditioner-to-prevent-engine-overheating,
100,7185,turn-off-mobile-phones-and-two-way-radios,
101,7186,prepare-to-stop,
102,7187,be-prepared-to-stop,
103,7188,stop-at-next-rest-area,
104,7189,stop-at-next-safe-place,
105,7190,only-travel-if-absolutely-necessary,
106,7191,drive-to-another-service-area,
107,7192,use-through-traffic-lanes,
108,7193,use-local-traffic-lanes,
109,7194,use-left-hand-parallel-roadway,
110,7195,use-right-hand-parallel-roadway,
111,7196,use-heavy-vehicle-lane,
112,7197,observe-recommended-speed,
113,7198,singals-sequenced-for-speed,
114,7199,maintain-stop-safe-speed,
115,7200,facing-traffic,
116,7201,push-button,
117,7202,to-cross-street,
118,8448,detour-where-possible,
119,8449,no-detour-available,
120,8450,follow-signs,
121,8451,follow-detour-signs,
122,8452,follow-special-detour-markers,
123,8453,do-not-follow-detour-signs,
124,8454,detour-in-operation,
125,8455,follow-local-detour,
126,8456,compulsory-detour-in-operation,
127,8457,no-suitable-detour-available,
128,8458,detour-is-no-longer-recommended,
129,8459,local-drivers-are-recommended-to-avoid-the-area,
130,8460,trucks-are-recommended-to-avoid-the-area,
131,8461,consider-alternate-route,
132,8462,consider-alternate-parking,
133,8463,consider-alternate-destination,
134,8464,consider-alternate-area,
135,8465,snow-route,
136,8466,emergency-snow-route,
137,8467,evacuation-route,
138,8468,truck-route,
139,8469,hazardous-materials-route,
140,8470,detour,
141,768,closed-to-traffic,
142,769,closed,
143,770,closed-ahead,
144,771,closed-intermittently,
145,772,closed-for-repairs,
146,773,closed-for-the-season,
147,774,blocked,OBSTRUCTION
148,775,blocked-ahead,OBSTRUCTION
149,776,reduced-to-one-lane,
150,777,reduced-to-two-lanes,
151,778,reduced-to-three-lanes,
152,779,collapse,
153,780,out,
154,781,open-to-traffic,
155,782,open,
156,783,reopened-to-traffic,
157,784,clearing,
158,785,cleared-from-road,
159,1536,delays,
160,1537,short-delays,
161,1538,long-delays,
162,1539,very-long-delays,
163,1540,delays-of-uncertain-duration,
164,1541,delayed-until-further-notice,
165,1542,busy,
166,1543,very-busy,
167,1544,crowded,
168,1545,overcrowded,
169,1546,cancellations,
170,1547,route-cancelled-and-no-replacement,
171,1548,service-cancelled,
172,1549,service-suspended,
173,1550,service-withdrawn,
174,1551,service-fully-booked,
175,1552,all-services-fully-booked,
176,1553,next-departure,
177,1554,next-arrival,
178,1555,very-frequent-service,
179,1556,frequent-service,
180,1557,fairly-frequent-service,
181,1558,regular-service,
182,1559,irregular-service,
183,1560,not-operating,
184,1561,system-busy,
185,1562,system-very-busy,
186,1563,system-crowded,
187,1564,system-overcrowded,
188,1565,travel-time,
189,1566,headway,
190,1567,extra-services-in-operation,
191,1568,delays-clearing,
192,1569,delays-cleared,
193,1570,normal-services-resumed,
194,1571,operating,
195,2304,lane-control-signs-not-working,
196,2305,lane-control-signs-working-incorrectly,
197,2306,lane-control-signs-operating,
198,2307,variable-message-signs-not-working,
199,2308,variable-message-signs-working-incorrectly,
200,2309,variable-message-signs-operating,
201,2310,emergency-telephones-not-working,
202,2311,emergency-telephone-number-not-working,
203,2312,traffic-lights-not-working,
204,2313,traffic-lights-working-incorrectly,
205,2314,ramp-control-signals-not-working,
206,2315,ramp-control-signals-working-incorrectly,
207,2316,temporary-traffic-lights-not-working,
208,2317,temporary-traffic-lights-working-incorrectly,
209,2318,traffic-signal-control-computer-not-working,
210,2319,traffic-signal-timings-changed,
211,2320,overheight-warning-system-triggered,
212,2321,equipment-failure,
213,2322,railroad-crossing-equipment-failure,
214,2323,tunnel-ventilation-not-working,
215,2324,power-failure,
216,2325,widespread-power-outages,
217,2326,technical-problems,
218,2327,sign-down,
219,2328,lines-in-road-faded,
220,2329,damaged-light-standard,
221,2330,traffic-signal-stuck-on-flash,
222,2331,guide-rail,
223,2332,fencing,
224,2333,light-standard-hanging-by-wires,
225,2334,call-box,
226,2335,signal-cabinet,
227,2336,detector,
228,2337,improper-use-of-state-vehicle-or-equipment,
229,2338,bulb-out,
230,2339,not-yet-operational,
231,2340,not-yet-installed,
232,2341,electronic-signs-repaired,
233,2342,emergency-call-facilities-restored,
234,2343,traffic-signals-repaired,
235,2344,railroad-crossing-equipment-now-working-normally,
236,3072,flash-flood,
237,3073,major-flood,
238,3074,reservoir-failure,
239,3075,levee-failure,
240,3076,tsunami,
241,3077,tidal-wave,
242,3078,volcanic-eruption,
243,3079,ash-fall,
244,3080,lava-flow,
245,3081,serious-fire,FIRE
246,3082,forest-fire,FIRE
247,3083,wildfire,FIRE
248,3084,building-fire,FIRE
249,3085,brush-fire,FIRE
250,3086,grass-fire,FIRE
251,3087,fire-danger-extreme,
252,3088,fire-danger-very-high,
253,3089,fire-danger-high,
254,3090,fire-danger-medium,
255,3091,fire-danger-low,
256,3092,earthquake-damage,
257,3093,air-crash,
258,3094,rail-crash,
259,3095,toxic-release,"HAZARD, SPILL"
260,3096,toxic-leak,"HAZARD, SPILL"
261,3097,radioactive-release,HAZARD
262,3098,radiation-hazard,HAZARD
263,3099,reactor-leakage,HAZARD
264,3100,explosion,HAZARD
265,3101,major-hazardous-materials-fire,HAZARD
266,3102,major-hazardous-materials-release,HAZARD
267,3103,disaster-cleared,
268,3328,assault,
269,3329,crime,
270,3330,robbery,
271,3331,fare-dispute,
272,3332,shooting,
273,3333,gunfire-on-roadway,
274,3334,suicide,
275,3335,fight,
276,3336,gang-fight,
277,3337,person-harassment,
278,3338,person-injured,
279,3339,sick-customer,
280,3340,unruly-passenger,
281,3341,person-intoxicated,
282,3342,crowd-control-problem,CROWD
283,3343,demonstration,CROWD
284,3344,march,CROWD
285,3345,public-disturbance,CROWD
286,3346,riot,CROWD
287,3347,civil-unrest,CROWD
288,3348,civil-emergency,
289,3349,strike,
290,3350,public-transit-strike,
291,3351,stampede,CROWD
292,3352,teargas-used,
293,3353,security-alert,
294,3354,security-incident,
295,3355,checkpoint,
296,3356,bomb-alert,
297,3357,terrorist-incident,
298,3358,high-velocity-shell-fire,
299,3359,explosives-in-use,
300,3360,air-raid,
301,3361,weapons-of-mass-destruction-threat,
302,3362,military-operations,
303,3363,security-problem-cleared,
304,3364,traffic-disturbance-cleared,
305,9984,ground-fire-suppression,
306,9985,heavy-ground-equipment,
307,9986,aircraft,
308,9987,marine-equipment,
309,9988,support-equipment,
310,9989,medical-rescue-unit,
311,9990,other,
312,9991,ground-fire-suppression-other,
313,9992,engine,
314,9993,truck-or-aerial,
315,9994,quint,
316,9995,tanker-pumper-combination,
317,9996,brush-truck,
318,9997,aircraft-rescue-firefighting,
319,9998,heavy-ground-equipment-other,
320,9999,dozer-or-plow,
321,10000,tractor,
322,10001,tanker-or-tender,
323,10002,aircraft-other,
